order_id,order_date,region,channel,product,category,unit_price,quantity,sales_amount,customer_satisfaction
ORD20250042,2025-02-04,华东,线下门店,按摩仪,个护健康,899.0,18,20370.22,3.2
ORD20250095,2025-03-14,东北,线上商城,无线耳机,数码电子,499.0,19,6685.75,3.6
ORD20250050,2025-04-16,华东,直播带货,电饭煲,家用电器,399.0,1,539.77,4.6
ORD20250040,2025-04-05,西南,线下门店,笔记本电脑,数码电子,5999.0,12,64143.1,
ORD20250092,2025-05-29,华南,线下门店,笔记本电脑,数码电子,5999.0,13,84470.92,4.1
ORD20250065,2025-06-28,西南,直播带货,按摩仪,个护健康,899.0,4,2634.15,4.1
ORD20250074,2025-05-05,华北,线上商城,空气净化器,家用电器,1899.0,8,14157.13,4.3
ORD20250047,2025-03-20,华东,线下门店,空气净化器,家用电器,1899.0,18,36433.92,4.6
ORD20250063,2025-06-06,华东,线上商城,笔记本电脑,数码电子,5999.0,1,8243.93,4.8
ORD20250003,2025-04-19,华南,线下门店,按摩仪,个护健康,899.0,1,928.29,3.4
ORD20250039,2025-01-26,华南,线上商城,智能手机,数码电子,3999.0,15,70286.39,4.0
ORD20250096,2025-02-02,华北,线下门店,无线耳机,数码电子,499.0,6,3180.84,
ORD20250077,2025-03-28,华北,线下门店,无线耳机,数码电子,499.0,13,6398.84,4.9
ORD20250027,2025-06-22,华北,直播带货,电饭煲,家用电器,399.0,14,5969.89,3.2
ORD20250010,2025-01-15,华东,线上商城,电动牙刷,个护健康,299.0,18,6117.94,4.6
ORD20250055,2025-03-22,华南,线下门店,智能手机,数码电子,3999.0,4,17543.81,4.0
ORD20250072,2025-04-08,西南,线下门店,电动牙刷,个护健康,299.0,1,258.26,
ORD20250086,2025-06-16,华东,线下门店,笔记本电脑,数码电子,5999.0,14,101440.71,4.8
ORD20250057,2025-06-20,华北,线下门店,电动牙刷,个护健康,299.0,7,1822.99,4.3
ORD20250048,2025-03-05,西南,直播带货,按摩仪,个护健康,899.0,2,1313.29,4.6
ORD20250028,2025-02-19,西南,线上商城,电饭煲,家用电器,399.0,11,3099.62,3.3
ORD20250053,2025-03-13,华北,线下门店,笔记本电脑,数码电子,5999.0,13,86511.44,3.8
ORD20250015,2025-01-03,华南,直播带货,空气净化器,家用电器,1899.0,15,37387.19,4.4
ORD20250031,2025-04-13,华北,线上商城,笔记本电脑,数码电子,5999.0,14,76773.63,3.0
ORD20250010,2025-01-15,华东,线上商城,电动牙刷,个护健康,299.0,18,6117.94,4.6
ORD20250038,2025-04-28,华东,线下门店,无线耳机,数码电子,499.0,13,8124.19,4.9
ORD20250075,2025-02-02,华南,直播带货,按摩仪,个护健康,899.0,13,14812.97,4.8
ORD20250019,2025-04-03,华北,线下门店,智能手机,数码电子,3999.0,20,68450.32,3.5
ORD20250083,2025-06-25,华东,直播带货,空气净化器,家用电器,1899.0,8,19720.63,4.6
ORD20250090,2025-02-18,华南,线上商城,空气净化器,家用电器,1899.0,9,19752.69,3.8
ORD20250009,2025-04-29,华南,线下门店,电动牙刷,个护健康,299.0,6,1905.16,4.9
ORD20250093,2025-03-11,华北,线下门店,电饭煲,家用电器,399.0,18,7619.07,3.2
ORD20250051,2025-01-10,西南,线下门店,无线耳机,数码电子,499.0,6,2113.59,4.6
ORD20250008,2025-06-24,华南,直播带货,无线耳机,数码电子,499.0,7,4260.16,
ORD20250014,2025-06-24,华东,线下门店,按摩仪,个护健康,899.0,4,3875.03,3.8
ORD20250087,2025-06-01,华北,线下门店,按摩仪,个护健康,899.0,16,15789.61,3.5
ORD20250032,2025-03-15,东北,线下门店,电饭煲,家用电器,399.0,9,2728.72,4.5
ORD20250071,2025-02-22,华南,线下门店,电饭煲,家用电器,399.0,11,4919.81,4.5
ORD20250023,2025-01-06,华东,直播带货,电饭煲,家用电器,399.0,4,1664.71,4.2
ORD20250043,2025-03-29,华东,线上商城,空气净化器,家用电器,1899.0,5,11752.33,4.7
ORD20250056,2025-04-22,华东,线上商城,电饭煲,家用电器,399.0,19,7853.76,4.6
ORD20250061,2025-02-13,华北,直播带货,电饭煲,家用电器,399.0,7,3039.12,4.0
ORD20250060,2025-05-29,华北,直播带货,按摩仪,个护健康,899.0,1,820.84,3.9
ORD20250036,2025-03-05,华东,直播带货,笔记本电脑,数码电子,5999.0,13,104541.84,4.2
ORD20250073,2025-04-18,华南,直播带货,无线耳机,数码电子,499.0,10,6346.98,4.1
ORD20250001,2025-01-24,华南,线上商城,空气净化器,家用电器,1899.0,3,5631.29,4.2
ORD20250013,2025-02-05,华北,直播带货,空气净化器,家用电器,1899.0,13,28370.24,4.5
ORD20250062,2025-03-02,华北,直播带货,电动牙刷,个护健康,299.0,20,6551.25,4.6
ORD20250081,2025-01-30,华南,线上商城,无线耳机,数码电子,499.0,6,3922.11,3.2
ORD20250016,2025-03-17,华南,线下门店,空气净化器,家用电器,1899.0,9,18712.26,3.0
ORD20250089,2025-02-24,西南,线下门店,智能手机,数码电子,3999.0,16,46301.48,3.7
ORD20250037,2025-03-08,华南,线上商城,电饭煲,家用电器,399.0,19,8237.88,3.6
ORD20250070,2025-06-27,华东,线上商城,空气净化器,家用电器,1899.0,3,6285.24,3.1
ORD20250006,2025-01-12,华南,直播带货,空气净化器,家用电器,1899.0,12,27814.52,3.6
