订单ID,订单日期,产品类别,产品名称,单价,数量,销售额,折扣率,地区,销售渠道,支付方式,客户满意度,配送天数
ORD202400079,2024-02-02,服装鞋帽,T恤,79.31,1,79.31,0.0,东北,线上商城,微信支付,3.2,5
ORD202400080,2024-09-02,食品饮料,橄榄油,103.47,1,93.12,0.1,华东,线上商城,微信支付,4.7,3
ORD202400081,2024-11-01,服装鞋帽,牛仔裤,180.3,1,180.3,0.0,西南,直播带货,微信支付,3.6,4
ORD202400082,2024-08-20,服装鞋帽,羽绒服,490.76,1,466.22,0.05,华北,线上商城,货到付款,4.5,4
ORD202400083,2024-03-07,服装鞋帽,帽子,62.53,2,125.06,0.0,华北,线下门店,货到付款,5.0,1
ORD202400084,2024-02-23,服装鞋帽,运动鞋,304.78,1,304.78,0.0,华北,线上商城,支付宝,5.0,2
ORD202400085,2024-11-14,服装鞋帽,帽子,47.18,4,169.85,0.1,华东,线上商城,微信支付,4.1,3
ORD202400086,2024-02-05,电子产品,智能手机,2808.09,1,2527.28,0.1,华北,线上商城,支付宝,4.1,2
ORD202400087,2024-03-21,美妆个护,面膜礼盒,136.78,1,123.1,0.1,华北,线上商城,支付宝,4.3,3
ORD202400088,2024-09-06,服装鞋帽,T恤,68.23,1,68.23,,华东,线上商城,支付宝,5.0,2
ORD202400089,2024-03-30,电子产品,笔记本电脑,6154.39,1,5846.67,0.05,华东,线下门店,支付宝,4.2,4
ORD202400090,2024-12-29,美妆个护,香水,371.51,1,334.36,0.1,华东,线下门店,微信支付,4.4,2
ORD202400091,2024-07-24,服装鞋帽,牛仔裤,200.01,2,400.02,0.0,华东,线上商城,微信支付,4.9,3
ORD202400092,2024-11-26,食品饮料,咖啡豆,66.06,1,62.76,0.05,华南,直播带货,微信支付,4.7,4
ORD202400093,2024-08-17,美妆个护,防晒霜,99.08,5,470.63,0.05,华中,直播带货,支付宝,4.3,4
ORD202400094,2024-09-16,电子产品,充电宝,118.27,1,112.36,0.05,华东,线下门店,银行卡,4.6,1
ORD202400095,2024-01-22,服装鞋帽,帽子,57.51,1,51.76,0.1,华北,线下门店,微信支付,3.7,3
ORD202400096,2024-01-21,家居用品,记忆枕,172.09,1,172.09,0.0,华北,线下门店,微信支付,3.8,3
ORD202400097,2024-06-17,电子产品,充电宝,112.23,2,179.57,0.2,华中,线上商城,微信支付,4.9,3
ORD202400098,2024-10-31,美妆个护,面膜礼盒,122.57,1,116.44,0.05,西南,直播带货,银行卡,3.3,4
ORD202400099,2024-07-04,电子产品,智能手表,994.49,1,895.04,0.1,华东,线下门店,支付宝,5.0,2
ORD202400100,2024-09-26,电子产品,智能手表,1224.21,2,2203.58,0.1,华东,线上商城,微信支付,4.2,1
ORD202400101,2024-05-01,食品饮料,进口零食包,61.74,2,111.13,0.1,华东,线上商城,货到付款,3.9,2
ORD202400102,2024-08-13,服装鞋帽,T恤,85.59,1,77.03,0.1,东北,直播带货,微信支付,3.9,5
ORD202400103,2024-02-22,美妆个护,防晒霜,105.01,1,105.01,0.0,华东,线下门店,支付宝,5.0,1
ORD202400104,2024-01-14,服装鞋帽,牛仔裤,180.11,1,180.11,0.0,华北,线上商城,货到付款,3.9,3
ORD202400105,2024-08-29,美妆个护,洗发水,64.66,1,64.66,0.0,华中,线上商城,支付宝,5.0,4
ORD202400106,2024-05-01,家居用品,空气炸锅,350.18,2,630.32,0.1,华东,线下门店,微信支付,4.8,1
ORD202400107,2024-01-01,服装鞋帽,运动鞋,347.21,1,347.21,0.0,华北,线上商城,货到付款,4.8,1
ORD202400108,2024-01-23,美妆个护,香水,388.96,1,388.96,0.0,华北,直播带货,微信支付,3.7,3
ORD202400109,2024-11-25,家居用品,记忆枕,171.64,1,163.06,0.05,西南,线上商城,微信支付,4.5,3
ORD202400110,2024-06-07,服装鞋帽,帽子,54.56,1,51.83,0.05,华东,线下门店,支付宝,4.7,2
ORD202400111,2024-08-13,食品饮料,橄榄油,93.27,1,83.94,0.1,华北,直播带货,支付宝,4.4,4
ORD202400112,2024-05-30,家居用品,空气炸锅,360.38,1,324.34,0.1,华南,线上商城,微信支付,4.7,3
ORD202400113,2024-05-20,美妆个护,面膜礼盒,113.43,2,215.52,0.05,华北,直播带货,支付宝,3.8,5
ORD202400114,2024-04-30,美妆个护,香水,402.63,4,1610.52,0.0,华南,直播带货,货到付款,5.0,3
ORD202400115,2024-11-28,家居用品,空气炸锅,325.95,1,260.76,0.2,华北,线上商城,支付宝,5.0,2
ORD202400116,2024-09-08,家居用品,吸尘器,829.39,1,746.45,0.1,西北,直播带货,货到付款,3.1,6
ORD202400117,2024-06-02,食品饮料,咖啡豆,81.61,1,81.61,0.0,西北,直播带货,支付宝,4.1,4
ORD202400118,2024-03-07,服装鞋帽,羽绒服,452.26,1,407.03,0.1,华北,直播带货,银行卡,4.2,5
ORD202400119,2024-06-25,电子产品,笔记本电脑,6043.24,1,5741.08,0.05,华北,线下门店,支付宝,4.8,3
ORD202400120,2024-06-26,食品饮料,进口零食包,73.82,3,199.31,0.1,华东,线下门店,支付宝,4.5,1
ORD202400121,2024-10-24,电子产品,笔记本电脑,6183.9,2,12367.8,0.0,西南,线上商城,支付宝,4.0,3
ORD202400122,2024-11-23,电子产品,笔记本电脑,5434.03,4,18475.7,0.15,华东,直播带货,微信支付,5.0,1
ORD202400123,2024-06-23,服装鞋帽,T恤,87.57,1,78.81,0.1,东北,线上商城,支付宝,4.4,3
ORD202400124,2024-02-19,电子产品,充电宝,133.11,1,133.11,0.0,西南,线下门店,微信支付,4.4,4
ORD202400125,2024-09-11,电子产品,充电宝,120.2,5,601.0,0.0,华南,线上商城,支付宝,4.4,2
ORD202400126,2024-02-25,服装鞋帽,T恤,84.39,2,160.34,0.05,华东,线上商城,微信支付,5.0,2
ORD202400127,2024-11-15,美妆个护,面膜礼盒,115.52,1,103.97,0.1,西南,线上商城,货到付款,3.6,4
ORD202400128,2024-03-11,美妆个护,电动牙刷,231.33,1,231.33,0.0,华东,直播带货,支付宝,4.1,4
ORD202400129,2024-09-29,服装鞋帽,帽子,51.7,3,147.35,0.05,华东,线上商城,微信支付,5.0,1
ORD202400130,2024-05-15,食品饮料,进口零食包,67.54,2,121.57,0.1,华东,直播带货,微信支付,4.3,3
ORD202400131,2024-02-26,家居用品,记忆枕,141.62,1,141.62,0.0,华北,直播带货,货到付款,3.5,4
ORD202400132,2024-06-15,食品饮料,橄榄油,98.75,1,93.81,0.05,华北,线上商城,微信支付,4.1,2
ORD202400133,2024-09-04,家居用品,吸尘器,700.28,1,665.27,0.05,西南,直播带货,微信支付,4.6,3
ORD202400134,2024-05-27,电子产品,笔记本电脑,5590.67,5,26555.68,0.05,东北,直播带货,支付宝,4.9,4
ORD202400135,2024-09-02,家居用品,台灯,83.82,2,159.26,0.05,华东,直播带货,微信支付,5.0,3
ORD202400136,2024-07-30,家居用品,记忆枕,132.02,3,396.06,0.0,东北,线下门店,支付宝,3.7,3
ORD202400137,2024-05-27,家居用品,空气炸锅,426.5,1,426.5,0.0,华北,直播带货,货到付款,3.9,4
ORD202400138,2024-07-22,美妆个护,洗发水,67.86,5,322.33,0.05,华中,线上商城,微信支付,4.5,5
ORD202400139,2024-09-09,食品饮料,咖啡豆,82.9,1,82.9,0.0,西南,线上商城,微信支付,,3
ORD202400140,2024-12-11,美妆个护,洗发水,62.0,2,105.4,0.15,西南,线上商城,支付宝,4.1,3
ORD202400141,2024-05-13,服装鞋帽,牛仔裤,193.7,4,736.06,0.05,华南,线上商城,支付宝,4.8,3
ORD202400142,2024-12-17,服装鞋帽,T恤,83.51,2,150.32,0.1,华北,线上商城,货到付款,4.9,2
ORD202400143,2024-08-29,美妆个护,洗发水,64.71,2,129.42,0.0,华北,线上商城,支付宝,4.4,3
ORD202400144,2024-10-01,电子产品,智能手表,1216.98,1,1216.98,0.0,华南,线上商城,银行卡,4.6,3
ORD202400145,2024-10-13,服装鞋帽,T恤,84.29,1,84.29,0.0,西南,线上商城,支付宝,4.7,3
ORD202400146,2024-08-29,电子产品,充电宝,108.48,1,97.63,0.1,华北,线下门店,微信支付,4.3,3
ORD202400147,2024-03-09,美妆个护,香水,371.95,5,1673.78,0.1,华北,直播带货,支付宝,4.6,3
ORD202400148,2024-09-29,家居用品,吸尘器,693.19,1,658.53,0.05,华东,线下门店,微信支付,4.7,3
ORD202400149,2024-05-03,家居用品,空气炸锅,390.71,1,390.71,0.0,华东,线上商城,微信支付,4.8,1
ORD202400150,2024-04-29,食品饮料,进口零食包,62.41,2,118.58,0.05,华东,线下门店,货到付款,4.9,1
ORD202400151,2024-03-30,美妆个护,电动牙刷,233.85,1,222.16,0.05,东北,直播带货,微信支付,4.6,4
ORD202400152,2024-08-30,家居用品,吸尘器,705.17,2,1269.31,0.1,华中,线上商城,货到付款,4.5,3
ORD202400153,2024-08-18,食品饮料,坚果礼盒,88.94,3,266.82,0.0,华东,直播带货,微信支付,4.3,3
ORD202400154,2024-09-02,家居用品,保温杯,61.16,4,244.64,0.0,华中,线下门店,支付宝,4.1,4
ORD202400155,2024-05-02,服装鞋帽,T恤,76.17,1,72.36,0.05,华东,线上商城,银行卡,5.0,1
ORD202400156,2024-04-14,家居用品,记忆枕,129.56,3,388.68,0.0,华东,线上商城,微信支付,4.6,2
ORD202400157,2024-05-05,服装鞋帽,T恤,73.25,3,197.78,0.1,华北,直播带货,支付宝,4.6,4
ORD202400158,2024-01-31,服装鞋帽,羽绒服,589.45,2,1178.9,0.0,华北,线下门店,支付宝,4.9,2
ORD202400159,2024-12-07,食品饮料,橄榄油,102.68,1,82.14,0.2,华北,线上商城,微信支付,5.0,2
ORD202400160,2024-04-01,电子产品,智能手机,3223.41,1,3062.24,0.05,西南,线上商城,微信支付,4.9,3
ORD202400161,2024-12-16,食品饮料,坚果礼盒,92.06,3,276.18,0.0,华东,线上商城,微信支付,4.8,2
ORD202400162,2024-06-18,服装鞋帽,羽绒服,581.59,4,2210.04,0.05,华东,线下门店,银行卡,5.0,2
ORD202400163,2024-10-15,美妆个护,洗发水,67.72,1,67.72,0.0,华南,直播带货,微信支付,4.7,3
ORD202400164,2024-07-18,美妆个护,防晒霜,90.2,2,180.4,0.0,西南,直播带货,支付宝,3.6,4
ORD202400165,2024-11-05,美妆个护,防晒霜,92.06,3,276.18,0.0,华南,直播带货,微信支付,4.5,4
ORD202400166,2024-07-13,电子产品,笔记本电脑,5443.96,50,272198.0,0.0,华东,线上商城,微信支付,4.4,1
ORD202400167,2024-06-06,服装鞋帽,T恤,69.57,1,59.13,0.15,华北,线上商城,微信支付,4.6,3
ORD202400168,2024-07-16,电子产品,充电宝,115.96,1,115.96,0.0,华南,线上商城,微信支付,4.9,3
ORD202400169,2024-08-03,家居用品,空气炸锅,364.17,4,1311.01,0.1,华南,线上商城,支付宝,5.0,2
ORD202400170,2024-06-17,服装鞋帽,牛仔裤,197.04,3,472.9,0.2,华东,线上商城,货到付款,5.0,2
ORD202400171,2024-12-21,美妆个护,防晒霜,103.04,1,92.74,0.1,西南,线上商城,支付宝,4.1,3
ORD202400172,2024-08-24,食品饮料,咖啡豆,73.62,1,73.62,0.0,西南,直播带货,微信支付,4.6,3
ORD202400173,2024-07-12,电子产品,笔记本电脑,5763.87,1,5187.48,0.1,华北,直播带货,支付宝,3.7,4
ORD202400174,2024-12-02,美妆个护,洗发水,62.65,1,53.25,0.15,东北,线上商城,微信支付,4.0,4
ORD202400175,2024-12-18,服装鞋帽,牛仔裤,173.2,1,138.56,0.2,华南,线上商城,货到付款,4.8,2
ORD202400176,2024-03-13,家居用品,保温杯,64.13,1,57.72,0.1,华北,线上商城,微信支付,5.0,2
ORD202400177,2024-06-24,美妆个护,洗发水,67.74,2,108.38,0.2,华东,线上商城,微信支付,4.5,3
ORD202400178,2024-08-09,服装鞋帽,帽子,61.32,1,55.19,0.1,华北,直播带货,支付宝,3.6,3
ORD202400179,2024-04-05,家居用品,吸尘器,740.45,1,666.41,0.1,华北,直播带货,微信支付,4.6,2
ORD202400180,2024-12-10,美妆个护,香水,472.75,2,898.22,0.05,华东,线上商城,支付宝,5.0,2
ORD202400181,2024-08-04,家居用品,台灯,95.22,2,190.44,0.0,华北,线上商城,支付宝,5.0,2
ORD202400182,2024-03-10,家居用品,记忆枕,170.87,1,153.78,0.1,华北,线上商城,微信支付,5.0,2
ORD202400183,2024-01-17,家居用品,台灯,84.29,3,227.58,0.1,华北,线上商城,支付宝,3.6,3
ORD202400184,2024-08-13,服装鞋帽,牛仔裤,158.53,3,475.59,0.0,华东,线下门店,微信支付,5.0,1
ORD202400185,2024-05-01,家居用品,台灯,95.11,3,256.8,0.1,华东,线上商城,支付宝,5.0,2
ORD202400186,2024-06-14,食品饮料,红茶礼盒,103.05,1,82.44,0.2,西北,直播带货,支付宝,3.0,6
ORD202400187,2024-03-05,美妆个护,洗发水,55.49,2,110.98,0.0,西南,直播带货,微信支付,3.9,4
ORD202400188,2024-02-17,服装鞋帽,T恤,83.61,3,225.75,0.1,东北,线上商城,支付宝,3.3,4
ORD202400189,2024-07-02,食品饮料,进口零食包,63.97,5,319.85,0.0,华北,线上商城,支付宝,4.9,2
ORD202400190,2024-01-25,电子产品,充电宝,102.59,4,410.36,0.0,华北,线上商城,货到付款,5.0,3
ORD202400191,2024-05-20,电子产品,智能手表,1017.63,1,1017.63,0.0,华东,直播带货,微信支付,4.0,3
ORD202400192,2024-02-09,电子产品,蓝牙耳机,261.52,1,261.52,0.0,华南,直播带货,货到付款,4.7,3
ORD202400193,2024-02-22,电子产品,智能手表,1225.73,1,1225.73,0.0,华南,直播带货,支付宝,4.3,3
ORD202400194,2024-03-18,食品饮料,进口零食包,69.69,3,209.07,0.0,华中,线上商城,支付宝,4.1,3
ORD202400195,2024-11-26,电子产品,笔记本电脑,5975.74,2,10756.33,0.1,西南,直播带货,银行卡,3.5,4
ORD202400196,2024-05-31,美妆个护,洗发水,59.91,1,53.92,0.1,华南,线上商城,银行卡,4.1,4
ORD202400197,2024-08-03,家居用品,吸尘器,809.11,4,3236.44,0.0,华东,线上商城,支付宝,5.0,2
ORD202400198,2024-09-13,美妆个护,电动牙刷,243.92,1,243.92,0.0,华东,线上商城,微信支付,5.0,2
ORD202400199,2024-11-28,美妆个护,面膜礼盒,122.6,1,116.47,0.05,华东,线上商城,微信支付,5.0,1
ORD202400200,2024-03-02,电子产品,蓝牙耳机,275.72,1,261.93,0.05,华北,直播带货,微信支付,4.8,3
ORD202400201,2024-01-16,家居用品,记忆枕,139.74,1,139.74,0.0,华北,线上商城,支付宝,4.3,3
ORD202400202,2024-12-11,美妆个护,洗发水,64.33,1,64.33,0.0,华东,线上商城,微信支付,5.0,3
ORD202400203,2024-12-01,服装鞋帽,T恤,73.03,4,262.91,0.1,华东,线上商城,支付宝,4.8,1
ORD202400204,2024-07-24,电子产品,充电宝,133.18,3,379.56,0.05,华东,线上商城,支付宝,5.0,2
ORD202400205,2024-10-29,食品饮料,咖啡豆,80.23,1,80.23,,华东,线下门店,支付宝,4.8,1
ORD202400206,2024-12-02,家居用品,保温杯,57.28,1,54.42,0.05,华北,线下门店,货到付款,4.7,3
ORD202400207,2024-07-30,美妆个护,香水,414.77,2,829.54,0.0,华北,直播带货,微信支付,4.5,3
ORD202400208,2024-06-10,食品饮料,橄榄油,103.9,2,187.02,0.1,华北,线上商城,货到付款,5.0,3
ORD202400209,2024-06-09,服装鞋帽,帽子,52.66,3,134.28,0.15,华东,线上商城,支付宝,5.0,3
ORD202400210,2024-06-16,电子产品,蓝牙耳机,296.54,1,296.54,0.0,华南,线上商城,货到付款,4.2,4
ORD202400211,2024-08-24,电子产品,蓝牙耳机,230.47,1,230.47,0.0,华东,线下门店,支付宝,4.5,1
ORD202400212,2024-01-12,食品饮料,咖啡豆,84.06,1,84.06,0.0,华东,线下门店,微信支付,5.0,3
ORD202400213,2024-07-21,服装鞋帽,牛仔裤,189.89,1,189.89,0.0,华中,线上商城,微信支付,4.7,4
ORD202400214,2024-10-08,服装鞋帽,羽绒服,485.65,1,485.65,0.0,华南,直播带货,支付宝,3.6,5
ORD202400215,2024-09-02,服装鞋帽,牛仔裤,171.58,2,326.0,0.05,华北,线上商城,支付宝,5.0,3
ORD202400216,2024-09-28,家居用品,台灯,103.49,5,517.45,0.0,华东,线上商城,微信支付,4.2,2
ORD202400217,2024-07-17,家居用品,吸尘器,677.12,2,1286.53,0.05,华中,线上商城,微信支付,3.9,4
ORD202400218,2024-09-09,服装鞋帽,运动鞋,339.02,1,339.02,0.0,华南,线上商城,微信支付,5.0,2
ORD202400219,2024-06-14,电子产品,蓝牙耳机,266.76,4,1067.04,0.0,西南,线下门店,货到付款,5.0,2
ORD202400220,2024-03-10,食品饮料,橄榄油,106.58,5,506.25,0.05,华东,线下门店,微信支付,4.2,3
ORD202400221,2024-06-06,美妆个护,香水,373.05,2,596.88,0.2,华北,线下门店,货到付款,4.2,4
ORD202400222,2024-10-16,电子产品,充电宝,107.06,2,214.12,0.0,华北,线上商城,微信支付,3.9,4
ORD202400223,2024-01-06,家居用品,吸尘器,793.46,1,793.46,0.0,华南,线上商城,微信支付,4.7,3
ORD202400224,2024-07-11,电子产品,充电宝,130.39,2,260.78,0.0,华东,线上商城,银行卡,5.0,2
ORD202400225,2024-07-11,家居用品,空气炸锅,385.36,4,1541.44,0.0,华东,线下门店,银行卡,4.5,2
ORD202400226,2024-01-28,电子产品,蓝牙耳机,297.0,50,14107.5,0.05,华南,线上商城,支付宝,5.0,2
ORD202400227,2024-02-14,家居用品,台灯,89.47,1,89.47,0.0,华东,线上商城,支付宝,4.6,2
ORD202400228,2024-02-16,美妆个护,电动牙刷,208.26,3,593.54,0.05,华东,线上商城,微信支付,5.0,2
ORD202400229,2024-02-19,电子产品,智能手表,1201.7,1,1201.7,0.0,华北,线下门店,微信支付,5.0,2
ORD202400230,2024-08-31,家居用品,记忆枕,168.12,2,336.24,0.0,华东,直播带货,支付宝,3.5,5
ORD202400231,2024-12-15,服装鞋帽,运动鞋,374.08,1,374.08,,华东,线上商城,微信支付,3.9,3
ORD202400232,2024-10-27,服装鞋帽,牛仔裤,159.08,1,159.08,0.0,华中,线上商城,支付宝,5.0,3
ORD202400233,2024-09-05,服装鞋帽,牛仔裤,155.02,1,155.02,0.0,华南,直播带货,微信支付,5.0,2
ORD202400234,2024-05-17,食品饮料,坚果礼盒,83.72,3,238.6,0.05,华东,线上商城,微信支付,5.0,3
